Rank,Resume Index,Resume Text
1530,2391,"TEACHER
Farrah M.
 
Bauman
Professional Summary
A position as an adjunct teacher/professor with major responsibilities that will effectively utilize my experience and training in coordination with my
communication, leadership, and organizational skills. Teacher certified by the state of South Carolina to teach all general sciences. 
A motivator
experienced in teaching physical science, chemistry, and medical microbiology. 
Excellent organizational skills, proficient with all Microsoft
applicatio..."
1531,170,"CUSTOMER SERVICE ADVOCATE
Summary
Detail-oriented Administrative/ Clerical support with extensive experience performing medical clerical duties and supporting 5 physicians in a busy
medical office. Expertise includes with excellent communication skills demonstrated by18 years of experience, verifying insurance coverage,
records reviews and schedule maintenance.
Highlights
Results-oriented
Maintains strict confidentiality
Meticulous attention to detail
Excellent communication skills
Team player w..."
1532,1001,"EXECUTIVE CHEF
Summary
Outgoing [Job Title] offering extensive knowledge of hospitality etiquette, food preparation and superior customer service.Food service
professional and culinary arts student seeking a position in an elegant fine dining establishment. Extensive knowledge of high-end ingredients and
food and wine pairings.Restaurant professional with [Number] years in FOH and BOH operations. Customer service and food handling expertise.
Skilled at memorizing menu items and orders.Organized,..."
1533,1279,"JOB CAPTAIN DESIGNER
Highlights
Software Literacy: - 
AutoCAD R14 & 2000, Aperture v. 5.0, Microstation 7.1, 
- 
Adobe Illustrator, Photoshop 6.0, Excel, Word
Experience
12/2002
 
to 
Current
Job Captain Designer
 
Company Name
 
ï¼​ 
City
 
, 
State
Worked independently and with other staff members to produce high-quality design proposals, presentation drawings and construction
documents for retail and hospitality clients.
Selected Projects: - 
Steiff Toy Company- Proposal for first North Ameri..."
1534,1417,"SALES REPRESENTATIVE
Highlights
Business Tools: SAAS, Microsoft Access, Excel, Word, Power Point, InDesign, Adobe Photoshop, Salesforce, Quicken
Experience
03/2014
 
to 
Current
Sales Representative
 
Company Name
 
ï¼​ 
City
 
, 
State
Responsible for the day-to-day relationship management of over 40 unique clients regarding planning, production, marketing, sales and
distribution of Josten's yearbook program.
Key priorities include maintaining current account volume of over 700k and developing ..."
1535,807,"BUSINESS DEVELOPMENT DIRECTOR
Experience
BUSINESS DEVELOPMENT DIRECTOR
 
January 2010
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Leads vision, strategy, and execution for all facets of operations and business development at a $45MM automotive dealership, with
accountability for the success of 52 employees.
Credited with improving the effectiveness of the business through strong leadership and the hiring of personnel with talent and experience in
customer service, finance, and business d..."
1536,2117,"INFORMATION TECHNOLOGY SPECIALIST
Summary
An organized DBA professional with over 6years hands-on experience supporting Oracle databases, Sql Server databases and AWS
infrastructure. Equipped with excellent communication and interpersonal skills; a highly organized individual and team player who possesses strong
analytical and problem solving skills, and is who is committed in delivering quality services to customers/clients.
Experience
Information Technology Specialist
 
03/2018
 
to 
Current
 ..."
1537,343,"INTERNAL AUDIT MANAGER
Summary
Dedicated auditing professional with the accomplished ability to work independently and as a team member to successfully achieve project goals
and objectives.
Highlights
Information System Audit and Control Association (ISACA)
Sarbanes-Oxley
Project risk and controls
Business process review
The Institute of Internal Auditors (IIA)
Risk management expertise
Strong client engagement
Experience
Internal Audit Manager
 
08/2012
 
to 
Current
 
Company Name
 
City
 
, 
..."
1538,2390,"SUBSTITUTE TEACHER
Summary
Receiving an education on Psychology and pursuing my teaching certification,ha been the best professional accomplishment I have achieved. The
teaching in the absence of the teacher helped me understand that I haveÂ  a background to implement the strategist teach.
Sales Manager successful in relationship and team building. Motivates sales teams to exceed sales goals with track record of consistently achieving
employee retention, skilled in leading teams to set record-hi..."
1539,531,"ADJUSTER
Experience
Adjuster
 
, 
07/2018
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Manage, Investigate, evaluate and negotiate moderate to high exposure, complex coverage and liability claims resulting from automobile
accidents.
Communicate with insureds, claimants, witnesses, police and other parties in order to gather information regarding coverage and liability.
Negotiate and settle bodily injury claims directly with insured's and claimants on first call.
Making sure correct rese..."
1540,476,"MEDICAL BILLING SPECIALIST
Skill Highlights
Microsoft Office products such as Word, Excel, Access, and PowerPoint
Can type 60 words per minute
Experience with face-to-face customer service interaction
Experience with communications with external clients via email and conference calling
Can create and maintain detailed records of any given project or task
Some experience with mailroom machines (envelope cutters, faxes, copiers, scanners)
Experience reading medical documents (insurance forms, EOBs..."
1541,1735,"ADVOCARE DISTRIBUTOR
Executive Summary
Experienced, energetic Personal Trainer and former college/professional athlete with over 20 years conducting group and one-on-one training
sessions in large gyms, as well as small fitness studios. Specializing in strength and conditioning, flexibility training, fitness program design with
advanced training in metabolic testing, nutrition and weight management consulting. Formal training in the health and fitness field of business
development and leadership..."
1542,912,"GENERAL MANAGER / EXECUTIVE CHEF
Summary
Dedicated leader with over 15-year track record as an organized administrative professional with hands-on experience supporting business areas
such as accounting, database management and human resources. Collaborative team player with strong communication, decision-making and time
management abilities.
 Â 
Highlights
Report writing
Computer proficiency
Service-minded
Human resource knowledge
Ability to prioritize
Motivational leadership style
Inventory co..."
1543,78,"ACCOUNTANT
Summary
Accounting professional with twenty years of experience in inventory and manufacturing accounting. 
Ability to fill in at a moment's notice, quickly
mastering new systems, processes and workflows. 
Take charge attitude, ability to work independently, recommend and implement ideas and
process improvements.
Skills
Microsoft Office Excel, Outlook and Word, SAGE 100, Ramp (WMS software) and 
Syspro (ERP program)
Experience
Company Name
 
City
 
, 
State
 
Accountant
 
04/2011
 
to..."
1544,348,"KEYHOLDER
Summary
Creative, hands-on professional with expertise in art direction and project management,Marketing and special promotions
Highlights
Professional 
photoshoot/modeling experience
Fashion Visual Merchandising
Professional runway experience,
Professional standing fashion model
Self taught abstract, visual , mix media artistÂ 
 Professional photo shoot experience
Self-motivated professional
Accomplishments
KNOWLEDGE OF OFFICE PRACTICES AND ITS PROCEDURES, PUBLIC RELATIONS,RULES,POLIC..."
1545,2321,"SALES ASSOCIATE
Professional Summary
I am talented individual who will bring my sales talent, fashion sense, and passion for clothing to your company. i have a proven track record of
success in sales .i am looking for suitable position with a company that offers there staff superb career opportunities, job enrichment and a
supportive work environment.Â 
Core Qualifications
Sales expertise
Accurate money handling
Team player mentality
Reliable and dependable
Goal-oriented
Excellent communication ..."
1546,1308,"GRAPHIC DESIGNER
Summary
Highly creative and multi-talented Graphic Designer with more than 14 years in multi-media and graphic design.
Highlights
Corporate design
Advanced typography knowledge
Strong design sense
Conceptual thinker
Time management
Creative and artistic
Self-motivated professional
Social Media Marketing
Experience
01/2014
 
to 
09/2015
Graphic Designer
 
Company Name
 
- 
City
 
, 
State
Create visual and print materials for a broad range of customers which includes business car..."
1547,1658,"FINANCE OPERATIONS/ SUPERVISOR MANAGER
Professional Summary
Looking for a position as Manager in a company that provides an open environment with many opportunities for continuous growth.I am highly
motivated achiever who is recognized for combining program excellence, integrity, and innovation with best practices and disciplined attention to
achieving immediate and long-term goals and objectives
Core Qualifications
Microsoft Office 2010 Window XP (Word, Power Point, Excel, Access), Vista, Peopl..."
1548,467,"SIXTH GRADE ENGLISH LANGUAGE ARTS TEACHER
Profile
Middle School/Secondary Teacher committed to nurturing and inspiring students to explore, define and transform their world. 
Through Literature,
History, Biblical Reflection and Creative Christian Interpretation, this teacher seeks to challenge students to engage the world in dynamic and
fruitful dialog. 
He will use effective, dynamic and inspiring methods of teaching to guide students into discovering who one is called to be while
defining one'..."
1549,2366,"SALES ASSOCIATE
Summary
Actively seeking a Full Time position in Technology within an organization utilizing my skillset and innovation to grow in a success driven
atmosphere.
Highlights
Win10, 8, 7, Vista, XP, Server 2013, ipad, tablets Hardware: PC Setup/Configuration/Integration/ Printers, Monitors, Routers, Scanners,
Cables Software: 
IE 10,9,MS Suite, Adobe Reader, Firefox, Mozilla, Wi-Fi
Experience
Sales Associate
 
Nov 2011
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Interact and ..."
1550,1127,"SENIOR CONSTRUCTION PROJECT MANAGER
Summary
Construction Manager successful at finding cost-effective solutions to the various challenges that arise during residential and commercial
construction.
Highlights
Permit processing
Building codes and regulations
Safe job site set-up
Site safety coordinator 
Organized and detail-oriented
Baseline schedules creation
MS Office proficient
Project budgeting
Cost control
Superb management skills
Accomplishments
Managed a $
 [Amount]
 
project, while supervi..."
1551,293,"PULASKI COUNTY EXTENSION AGENT
Professional Summary
To plan, develop, implement and sustain public health programs. Experience in conducting needs assessments, training in grant writing, and budget
management. Experience supervising program assistants and paraprofessionals. Ability to 
communicate orally, and present written program
materials. 
Compassionate about community outreach and health promotion.
Core Strengths
Low income populations
Client engagement
Nutrition background
Health promotio..."
1552,562,"RECRUITER-IN-CHARGE
Summary
Accomplished and detail-oriented professional offering excellent organizational skills and ability to manage complex projects with accuracy.
Excellent communication and management skills, able to deliver informative recommendations to senior leadership regarding long-term strategic
planning and decision making. 
Disciplined approach to tasks and ability to anticipate potential obstacles are attributes which contribute to a strong
record of excellence and acknowledgmen..."
1553,2168,"PUBLIC RELATIONS ACCOUNT COORDINATOR
Summary
Public relations professional possessing excellent project management, leadership and event planning skills with a strong background in brand
building public relations.
Highlights
Relationship building expert
Deadline-driven
Exceptional writer
Exceptional multi-tasker
Proficient in Adobe Creative Suite
Organized and efficient
WordPress
Proficient in Adobe Creative Suite
Experience
Public Relations Account Coordinator
 
Jan 2015
 
to 
Current
 
Company..."
1554,787,"DIRECTOR OF OPERATIONS, BPO
Executive Summary
Results-Focused management professional offering 15 years of progressive leadership experience. Transforms high-potential staff into outstanding
leaders who demonstrate the creativity and savvy that is critical to financial and operational success.Â 
High-energy Manager successful in building and motivating dynamic teams. Cultivates a company culture in which staff members feel comfortable
voicing questions and concerns, as well as contributing new i..."
1555,1512,"ENGINEERING TECHNICIAN
Summary
Creative and innovative draftsman, passionate about building designs and advanced construction solutions.Â  Â Seeking the best opportunity to
further enhance present professional experience and expand knowledge base on architectural designs, while growing with an organization.
Skills
3D modeling, architectural drafting, AutoCAD, read blueprints, carpentry, Detail oriented, drafting, email, floor plans, frame, 3dsMax, mechanical,
messaging, Microsoft Office applicat..."
1556,2327,"SALES
Professional Summary
Talented Construction Manager with more than twenty years of success on various projects as an Independent Contractor. Solid experience
managing all levels of small to large scale projects. 
Extensive experience in the preparation of complete cost estimation. Accomplished in
completing project on time at or under budget. 
Strong leadership and relationship building skills by providing clear direction and explanation of
plans and contract terms. Meticulous work. Profici..."
1557,2239,"PUBLIC RELATIONS SPECIALIST
https://chelseapensapiece.wordpress.com/
Professional Summary
Highly ambitious communications professional, excellent at juggling multiple tasks and working under pressure. Broad experience across military,
healthcare, and engineering industries.
Skills
Media Relations
Media Communications
Digital Marketing
Research
Strategic Planning
Social media
Social Media Analysis
Content Management Systems
Strong verbal communication
Project management
Work History
Public Relati..."
1558,1607,"FINANCE OFFICER
Professional Summary
Bilingual self-starter with broad customer service background. Skilled in developing relationships and providing exceptional individualized service.
As well as an enthusiastic, resourceful recent graduate with academic and professional background. Ability to establish priorities and meet
challenges head-on.
Skills
â€¢ Excellent attention to details
â€¢ Fluent in Spanish 
â€¢ Excellent driving skills Â 
â€¢ Excellent skills inÂ Microsoft Outlook, Word, Excel a..."
1559,749,"CAREER SENIOR EXECUTIVE SERVICE MEMBER / DIRECTOR FINANCE, SYSTEMS AND BUDGET GROUP
Executive Profile
Accomplished, highly respected executive with extensive public and private sector health care and financial management experience. Proven ability
to lead and mentor large and diverse teams; build and maintain relationships that transcend corporate, cultural, and geographic boundaries; and
improve systems and processes to increase productivity, profitability, and customer satisfaction. Excels in ..."
1560,1047,"CONSTRUCTION SERVICES PROJECT MANAGER
Summary
Dedicated Â Property/
 Facilities Specialist
 Â with more thanÂ 
 10
 
years overseeing a diversified portfolio of commercial properties totaling over 1
million
 
square feet and residential properties with a combined total of over 1,000 units. Successful and 
experienced manager poficientÂ in
budgeting, planning, bidding, purchasing, staffing, supervision and improvementÂ implementation of commercial and residential projects. Adept in
customer relat..."
1561,1289,"JEWELRY DESIGNER AND OWNER
Summary
Skillful and dedicated Executive Assistant with extensive experience in the coordination, planning and support of daily operational and
administrative functions in a highly confidential environment.
Highlights
Microsoft Office proficiency
Proper phone etiquette
Time management
Flexible
Professional and mature
Strong problem solver
Works well under pressure
Social media knowledge
Database management
Customer service-oriented
Meeting planning
Travel administratio..."
1562,130,"ADMISSIONS EXECUTIVE
Professional Summary
Highly motivated, creative professional with strong leadership and relationship-building skills. Experienced in applying principles of sociology to
personnel handling, administration, education, management and marketing problems.
Core Qualifications
Microsoft Office
Training and development
Marketing and sales specialist
Group behavior and dynamics
Charismatic public speaker
Community resources specialist
Motivated team player
Natural leader
Organized an..."
1563,2164,"PUBLIC RELATIONS SPECIALIST AND BRAND CONSULTANT
Summary
With so many individuals applying for a position within your organization, how can you decide who is the best candidate? Successful public relation
professionals need to be creative, dynamic, organized, team-oriented with a strong desire to succeed and these are qualities I have been
recognized for in all of my previous roles. I have worked for iconic fashion brands such as ANN Inc. and The Children's Place where I managed
national and int..."
1564,591,"QUALITY ASSURANCE MANAGER
Professional Summary
Outgoing Quality Assurance Manager with 8 years of managerial experience in Aerospace. Committed to high standards of product inspections
and customer service with extensive knowledge of EVO & Microsoft office use. Adept at collaborative with various departments for
comprehensive quality control. Methodical with superb problem-solving and analytical abilities. Keeps meticulous records and identify and
troubleshoot problems. Specialties include opera..."
1565,1730,"INTERN
Highlights
Microsoft Word, PowerPoint, and Excel. Social Media: Twitter, Facebook, and Instagram
Experience
January 2016
to
May 2016
Intern
Create and implement strength and conditioning workouts for spring season.
Monitor weight lifting form and technique.
Provide feedback and apply knowledge to strength training and conditioning programs.
Organize and prepare equipment daily for strength and conditioning programs.
August 2015
to
December 2015
Company Name
 
City
 
, 
State
 
Fitness Int..."
1566,650,"OPERATOR
Summary
ATP & ESS TESTING. TRAINING IN THE LEAN SIX SIGMA EVENTS OPERATE WIRE CUTTING AND THE AQUEOUS
CLEANING MACHINES KNOWLEDGE IN WIRE CRIMPING/STRIPPING AND MANY OTHER HAND TOOLS USE.
Accomplishments
HARD WORKING AND OPEN MINDED.
100% SUPPORT TEAMING AND DIVERSITIES.
WORK WELL WITH PEOPLES.
Experience
01/1999
 
to 
Current
Operator
 
Company Name
 
ï¼​ 
City
 
, 
State
SPRAY/TOUCH UP PAINT FOR PRODUCTIONS AND REPAIR UNITS SOLDERING AND REPAIR CIRCUIT BOARDS
WAVE SOLDER & CUT AND CLI..."
1567,1434,"COMMUNICATIONS SPECIALIST
Professional Summary
Five years of experience in Communications & Social Media, with a strong visual sense and creativity, excellent writing skills, and the ability to
organize and manage teams and projects. Familiar and skilled with MS Office and Adobe Creative Suite 6; able to learn new programs.
Skills
Adobe Creative Suite 6, Microsoft Office, Windows applications, Multimedia production, Public relations, Media relations, Social media
managing, Exceptional listener, ..."
1568,1157,"CONSULTANT
Summary
[job title] with more than [number] years of experience planning, developing and implementing [program or process] .Experienced manager with
excellent client and project management skills. Action-oriented with strong ability to communicate effectively with technology, executive, and
business audiences.high level of client interaction utilizing my extensive knowledge and experience in the retirement and compensation fields.
Resourceful, Responsible, Results-oriented, Seasoned, ..."
1569,2254,"MARKETING & PUBLIC RELATIONS MANAGER
Summary
DecisiveÂ 
 Marketing Manager
 Â 
 
who drives company growth through creative and innovative marketing strategies. Skilled at analyzing market
trends and customer needs to develop highly-effective and targeted marketing campaigns. 
Experienced Restaurant Manager who oversaw a high-
volume,Â multi-million dollar restaurant. Versed in planning daily operations, staffing and inventory management.
Highlights
Brand development
Brand recognition optimizati..."
1570,967,"CHEF
Summary
Customer-oriented fast food worker with deep experience with POS systems, food preparation and safety regulations. I am highly efficient at
preparing food orders quickly while greeting all customers and managing the cash register accurately.Adaptable warehouse picker with extensive
experience in material handling, inspections and shipping and receiving. Focused on continual process improvement and cost reduction. I am also
familiar with all aspects of logistics, shipping and receivi..."
1571,1171,"CONSULTANT
Experience
Consultant
 
January 2012
 
Company Name
 
ï¼​ 
City
 
, 
State
Provided programmatic and operational support for audit readiness engagement with the Defense Logistics Agency.
Designed and implemented SOPs for on-boarding security process for 150 new hire contractors.
Transformed difficult client relations into collaborative ones, facilitating smooth program management.
Built resource management system to track and maintain contract requirements and sensitive personnel info..."
1572,2193,"SPECIAL EVENTS COORDINATOR
Summary
Marketing and public relations professional with over five years' experience in campaign management, strategic media communications, social
media management and event planning, seeking position as Marketing Coordinator with milk + honey.
Excellent verbal and written communication skills
Sound knowledge of marketing principles
Market project management-motivated, confident, multi-tasks, creative, innovative and energetic
Social media savvy
Highlights
Excellent v..."
1573,1005,"BARTENDER / SERVER TRAINER / BANQUET EVENT CAPTAIN
Summary
Seeking a position with a company dedicated to growth, as well as; acknowledgment of extraordinary efforts/achievements. I am a results driven
individual with a professional work ethic and verifiable sales and sales management experience. I possess excellent interpersonal, communication
and relationship-building skills; can listen attentively, communicate persuasively and follow through diligently. I consider myself a leader, striving to..."
1574,121,"SUBSTITUTE TEACHER
Professional Summary
A self-motivated, results oriented, and resourceful professional focused on delivering compassionate patient experiences; accompanied by
organizational, problem-solving, interpersonal, communications, and excellent customer service skills; and over 10 years in social services within
the health care family and community. In addition to being an advocate for promoting happy, healthy, and balanced individuals, I am proactive, and
adept at interacting effectiv..."
1575,258,"SAFETY INTERN
Areas of Expertise
Occupational Safety Microsoft Word, Excel, Power Point, E-Tools
Professional Experience
05/2015
 
to 
08/2015
Safety Intern
 
Company Name
 
- 
City
 
, 
State
Walkthroughs of plant to make sure proper personal protective equipment is being worn by all employees, transition from Material Safety
Data Sheet to Safety Data Sheet, implement GHS labels for the chemicals, being in charge of safety to new hire orientation, safety audits,
cost benefit analysis of new war..."
1576,1234,"PRINCIPAL CONSULTANT
Summary
Supply Chain and Logistics & management professional with traditional supply chain and transformation experience. Developed & supported
evaluation of key process functions such as strategy & business planning, category management, strategic sourcing, contractor lifecycle
management, vendor risk management, SRM, purchase to pay and spend analytics. Managed strategy execution, organizational redesign, strategic
cost reduction and utilized technology as an enabler for S..."
1577,1780,"WELLNESS DIRECTOR
Professional Summary
Skills
SKILLS
Body composition evaluations
Telehealth experience
Group Instruction
One-on-one coaching
Health education
Data management
Supervision
Planning and Coordination
Training & Development
Leadership
Compassion
Conflict resolution
CERTIFICATIONS
Group Fitness Instructor, NIFS Certified
Certified Therapeutic Exercise Specialist, ACE Certified
Yoga, Tai Chi, Spin, TRX, Behavior Modification, Parkinson's, Health and
Wellness, Aquatics NETA, Aquatic Exe..."
1578,1109,"CONSTRUCTION & RESIDENTIAL CLEANING
Professional Summary
Detail-oriented professional with strong technical skills and the ability to learn concepts quickly.
Core Qualifications
Detail oriented
Planning/coordinating
Team leadership
Courteous demeanor
Active listening skills
Inventory control familiarity
Engaging personality
Excellent multi-tasker
Fluent in Spanish
Decision making skills
Self-directed
Shipping and receiving
Safety-oriented
Production scheduling
Opening/closing procedures
Dependab..."
1579,2115,"INFORMATION TECHNOLOGY PROJECT MANAGER
Summary
SUMMARY Skilled IT professional with 7 years of proven success in developing and leading cross-functional technical teams to execute and
deliver major technology initiatives using the Agile methodology and Scaled Agile Framework (SAFe). Well-versed in managing projects with co-
located and off-site teams. Expertise in gathering and translating requirements, leading scrum teams, and release management, including owning the
release management lifecycl..."
1580,1174,"CONSULTANT
Executive Profile
Broadcast Management, Media Sales, Radio Station Programming and On-Air Broadcast execution is where my success has been the most
dominate.
Skill Highlights
Affiliate Sales Manager
Local Brand Manager
On-Air Personality
Social Media Integrator
Digital Content Developer
Email Marketer
Core Accomplishments
In my career as a media professional, I've achieved notable success as a major market on-air personality, Brand Manager, created and developed
several syndicated rad..."
1581,1481,"BIOMEDICAL ENGINEERING TECHNICIAN II
Professional Summary
Versatile BMET II highly effective at working independently and as part of a team. Expertise in installation and inspection of medical devices.
Core Qualifications
Microsoft Excel, Project and Visio
Adobe
Engineering standards
OSHA regulations
MS Office proficient
Competency in procedure development
Advanced anatomy knowledge
Advanced knowledge of embedded systems
Vast technical knowledge
Windows XP/Vista
DHCP/DNS Ethernet and Firewall pr..."
1582,2431,"SPANISH TEACHER
Summary
Friendly and energetic Spanish teacher with ten years expertise in academic instruction and classroom management.
Highlights
Professional Certification in Secondary level Spanish
Permanent Certification in Secondary Inclusive Education
Accomplishments
Achieved effective and highly effective status on all APPR evaluations
Helped more than 15 students reach their IEP goal of graduating with a Regents diploma
Managed classes of up to 23 students
Chaperoned 25 field trips and..."
1583,99,"ACCOUNTANT
Professional Summary
Accountant with more than 8 years accounting experience with profit making ,non for profit and non-governmental organizations (NGOs). Possess
solid knowledge of GAAP, GASB and IFRS. Proficient in automated systems: such as QuickBooks, Sun system and Peachtree Accounting.
Core Qualifications
General Ledger Accounting
Balance sheet account reconciliation
Bank & Office Account reconciliation
Financial data analysis
Financial Statements & Audit Support
Generate variou..."
1584,1751,"PROCUREMENT ANALYST
Accomplishments
New Professional Organization Attend seminars and events relevant in today's business market.
Karass Effective Negotiating Training to develop key negotiating skills Six Sigma Yellow Belt Certification.
Professional Experience
Company Name
 
March 2012
 
to 
Current
 
Procurement Analyst
 
City
 
, 
State
Performs strategic sourcing of MRO (Maintenance, Repairs, and Operations) items for the company's North American manufacturing
locations as well as supplier ..."
1585,2014,"HR GENERALIST
Experience
08/2017
 
to 
Current
HR GENERALIST
 
Company Name
 
ï¼​ 
City
 
, 
State
Recruited to help open new company sales team in TX and NC, guiding senior management on pay and.
compensation for contract positions.
Worked with senior leadership to create HR policies and procedures; recruit.
employees; updated HRIS system for tracking time and attendance, PTO benefits, and employee applicant log;.
created training manual; conducted job evaluations and analysis for created pay r..."
1586,2359,"SALES ASSOCIATE
Summary
Dedicated Sales Associate offering 
[Number]
 
years of success in fostering quality shopping experiences through expert needs assessment and
extensive product knowledge. Proven history of exceeding sales targets and meeting customer needs with effective product solutions. Skilled in
training and mentoring new associates on customer service and sales best practices. Talented 
[Job Title]
 
with strong background in 
[Area of
expertise]
 . Passionate about 
[Type]
 
sales,..."
1587,183,"REGISTERED NURSE CLINICAL CARE COORDINATOR- FIRST AID
Professional Background
To obtain a position as a registered nurse where my experience and leadership skills can be utilized to provide a positive and effective team
environment resulting in excellent patient care and satisfaction. Able to quickly adapt to new environments and 
Newborn education situations.
Specimen collection/processing proficiency Effectively able to triage critical situations. 
Excellent communication skills between multip..."
1588,654,"VICE PRESIDENT
Summary
Seeking a Program/Project Management position to utilize and expand my talents, knowledge and experience.
Experience
Vice President
 
01/2011
 
to 
Current
 
Company Name
 
City
 
, 
State
Manage cross functional and cross business unit projects to reduce expenses and best utilitize company resources Site Strategies
Divestitures Create repeatable reporting processes of data to support current and future projects Designed project plan templates for future
project managers t..."
1589,1791,"GROUP FITNESS INSTRUCTOR
Summary
Experienced, passionate and highly motivated fitness professional focused on creating dynamic and positive experiences for fitness members. Well
organized and reliable with excellent leadership and teamwork skills.
Highlights
Experience
Group Fitness Instructor
 
July 2007
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Teach fitness classes ensuring safe, effective and fun workouts for all levels.
Provide challenging options and modifications as needed.
Obse..."
1590,422,"DANCE EDUCATOR
Professional Summary
Personable and proactive Clinical Mental Health Counselor and Registered Dance/Movement Therapist focused on building positive rapport with
a diverse range of clients and adept at facilitating both individual and group therapy sessions. A critical thinker and detail-oriented with superior
interpersonal skills.
Core Qualifications
DSM-V knowledge
Group behavior and dynamics
Group therapy, Expressive Art Therapies, and Dance/Movement Therapy
Experience working w..."
1591,1964,"HR DIRECTOR
Professional Summary
Experienced HR ManagerÂ over 3 facilitiesÂ with 10 years of proven HR experience in all areas of Employee Relations,Â Benefits, 401k
Management, Payroll, EEOC, AAP,Â FAA/DOT, Workers Compensation &Â Safety.Â 
Core Qualifications
Employee relations
Benefits administrator
Employment law knowledge
Interviewing expertise
Payroll expertise
Manager coaching and training
Staffing and recruiting professional
Experience
HR Director
 
May 2005
 
to 
Current
 
Company Name
..."
1592,1711,"BARTENDER (ON CALL)
Summary
Hardworking and reliable Fitness Specialist with strong ability in multitasking. Offering Basics, monitoring and providing positive energy. Highly
organized, proactive and punctual with team-oriented mentality. Enthusiastic individual with superior skills in working in both team-based and
independent capacities. Bringing strong work ethic and excellent organizational skills to any setting. Excited to begin new challenge with successful
team. Energetic group fitness in..."
1593,2075,"INFORMATION TECHNOLOGY AUDITOR
Skills
PeopleSoft HCM 8.8/9.x, PeopleSoft Financials 8.8/9.x, 
PeopleTools 8.51/ 8.54, SQL Developer, MS Office, Visio, MS Project, Dell Stat
5.6/5.7, SQL Developer, Application Designer, Putty, SharePoint, HP Application Lifecycle Management, Oracle Enterprise Manager, STAT
Admin, TOAD, Service Now, Remedy, Heat, Oracle E-Business, Asset Suite 8.
Experience
10/2016
 
to 
Current
Information Technology Auditor
 
Company Name
 
ï¼​ 
City
 
, 
State
Participate in th..."
1594,2212,"PUBLIC RELATIONS SPECIALIST
Professional Summary
Public relations and communications specialist adept at media relations, special events coordination, issues management and community relations.
Skills
Deadline-oriented
Strong creative vision
Event planning
Strong communication skills
Media relations
Communications management
Natural leader
Creative writing
Diversity trainer
Strategy development
Public Relations
Information gathering
Work History
Public Relations Specialist
 
, 
09/2019
 
to 
Cur..."
1595,1944,"HR SPECIALIST
Highlights
Staffing and recruiting professional
Interviewing expertise
Recruiting
Personnel records maintenance
Affirmative Action compliance
Fluent in [Language]
Detail-oriented
Microsoft Office Suite expert
People-oriented
Experience
07/2015
 
to 
Current
HR Specialist
 
Company Name
 
ï¼​ 
City
 
, 
State
Assisted with the establishment of the hiring process that is currently in use at the George's Employment and Training Center.
Assisted in the creation and implementation the f..."
1596,1945,"HR ADMINISTRATOR/MARKETING ASSOCIATE HR ADMINISTRATOR
Summary
Dedicated Customer Service Manager with 15+ years of experience in Hospitality and Customer Service Management.
Respected builder and leader of customer-focused teams; strives to instill a shared, enthusiastic commitment to customer service.
Highlights
Focused on customer satisfaction
Team management
Marketing savvy
Conflict resolution techniques
Training and development
Skilled multi-tasker
Client relations specialist
Accomplishments..."
1597,1097,"ASSISTANT MANAGER/ SALES AND RELOCATION SPECIALIST
Summary
I have been working professionally in the field of multi-family housing communities for over two years. My day to day duties are in sales and
relocation assistance, taking tours, helping with resident and client issues, many administrative and office tasks, and processing of monies, following
up with leads, scheduling vendors for maintenance issues, ordering supplies, data collection and weekly reports for our owners, and appointment
set..."
1598,437,"ASSISTANT PRINCIPAL
Summary
Educational Administration
Assistant Principal with 12 
years in education and exceptional people skills.Â Create and monitor a positive safe school cultural environment that
ensures growth of both students and staff. Â Inspire motivation to learn, skilled at building secure relationships between communities, parents,
students and teachers.Â Â 
 
Core Qualifications
COMPUTER PROFICIENCY
Microsoft Office Suite
Adobe: InDesign
Adobe Photoshop
Adobe Illustrator
CAD
Quark..."
1599,2324,"SALES ASSOCIATE
Summary
SALES & BUSINESS DEVELOPMENT
Business development professional with 14 + years being successful at acquiring, expanding and managing key health care accounts in the HVAC
construction industry. Well versed in building strategic partnerships through persuasion, negotiation and personal presence. Demonstrated passion
for building relationships, cultivating partnerships and growing business.
Highlights
Excellent sales techniques
Excellent communicator
New program and promotio..."
1600,2299,"SALES MANAGER
Highlights
MS Office proficiency
Microsoft Outlook
Lotus Notes
Team leadership
Exceptional time management
Goal-oriented
Accomplishments
Managed a successful sales team of 12 members who consistently exceeded sales goals an average of 20% each month.
Developed highly effective sales training strategies as Sales Manager of a 12-person team.
Coached a successful sales team that led the store in monthly sales per FTE over 50% of the year.
Mentored two Sales Manager In Training candida..."
1601,571,"PEST CONTROL TECH
Summary
Seeking a position with a warehouse company, where I can use my experience as a Forklift Driver in order to maintain inventories in a good clean
environment and to become an asset to your company. More than ten years experience. Experienced forklift operator able to receive cargo into
packing area, report any overage, shortage and damages from that delivery to the appropriate agents or supervisors and follow packing
instructions as indicated by paperwork. Experience wor..."
